Sample,Type,Class,TPO,TG,NT5E,SLC5A5,ANPEP,CCND1,GAB2,HPSE,DAPK1,EIF5A2,KIT,PTPN14,SFTPC,GATA3
DE.A4MD.06,Other,Metastases,"11,03","13,06",",30","-1,01","-,30",",55","-,96","-1,04","-,96","-,77","-2,58","-,99","-,82","2,08"
J8.A4HW.06,Other,Metastases,"9,21","13,99","2,10","2,41",",34","1,39","-,25",",48",",74","-1,03","1,60","-,18","-2,87","2,08"
EM.A3FQ.06,Other,Metastases,"11,74","14,68","2,05","3,99","-2,33","1,75","-1,95","-2,10","-1,65","-1,55","-1,20","-1,71","2,24","-,02"
J8.A3O2.06,Other,Metastases,"5,87","13,91","2,75","-,74","-3,02","1,13",",17","-,79","-,12","-1,69",",32","-,44","-2,87","2,38"
EM.A2CS.06,Other,Metastases,"12,37","14,69","2,23","2,98","-2,88","1,32",",30","1,04","-1,83","-1,25",",37","-,74",",81","1,20"
EM.A3SU.06,Other,Metastases,"10,16","12,56","3,03","-,22",",32","1,96",",07",",47","-,09","-1,02",",34",",52","-1,53","1,75"
EM.A2P1.06,Other,Metastases,"7,67","11,71","3,31","-1,74","-,96","1,37",",42",",73","-,48","-1,60","-2,36",",24","-2,87","1,46"
J8.A3YH.06,Other,Metastases,"8,72","13,82","2,73","-,91","-2,34","1,20",",00","-,31","-1,11","-1,64","-,25","-,50","-1,77","1,39"
EL.A3T8.11,Classical,Normal,"14,02","15,62","1,68","4,66","-2,36","-,10","-,58","-1,66",",12","-,16","3,73","-,27","2,74","1,37"
EL.A3TB.11,Classical,Normal,"14,65","15,98",",29","6,48","-2,68","-,41","-1,09","-3,30","-,10","-,26","4,11",",06","2,46","1,28"
EL.A3MW.11,Other,Normal,"14,06","15,90","1,69","7,42","-1,45",",18","-,64","-1,76",",16",",12","4,04","1,11",",99","1,49"
KS.A41J.11,Classical,Normal,"14,52","16,09",",26","7,93","-1,89","-,14","-1,13","-1,89",",17","-,34","4,57","-,09","1,50",",85"
BJ.A2N9.11,Classical,Normal,"14,43","15,58",",31","9,92","-,84","-,08","-,94","-,61","-,19","-,60","3,35","-,63","1,98","2,13"
EM.A1CV.11,Classical,Normal,"14,22","16,24","-,41","4,69","-3,77",",04","-1,62","-2,59","-,23",",09","4,17",",39","1,61","-,46"
EL.A3H1.11,Classical,Normal,"14,79","16,28","1,11","9,41","-2,29",",33","-,88","-1,81","-,52",",02","3,85",",28","2,43",",83"
BJ.A2NA.11,Tall_Cell,Normal,"14,93","15,84","1,70","8,17","-2,14","-,06","-1,13","-1,34","-,78","-,50","3,64","-,24","3,69","2,07"
EL.A3ZL.11,Classical,Normal,"12,90","14,87","1,03","3,51","-2,05","-1,07","-,99","-1,57",",21","-,08","3,24",",44","1,91",",80"
EM.A1YC.11,Follicular,Normal,"14,14","15,17",",87","7,05","-1,49","-,31","-,78","-2,43","-,19","-,12","2,75","-,84","3,25","2,39"
EM.A1CS.11,Classical,Normal,"14,48","15,76","-,31","8,28","-3,28",",03","-1,03","-2,85","-1,28",",03","3,69","-,82","2,44","1,75"
EL.A3ZG.11,Classical,Normal,"14,20","15,89","-,72","11,21","-3,55","-1,11","-2,76","-3,74","-,67","-,62","2,99","-1,20","2,55","1,16"
EL.A3ZS.11,Classical,Normal,"12,63","12,54",",98","5,73","-,38","-2,06","-1,24","-,14","-,92","-,47",",44","-1,84",",87","2,44"
EL.A3ZM.11,Classical,Normal,"15,27","16,03","1,78","8,42","-2,60","-,87","-2,08","-3,87","-,61","-,42","2,79","-,53","3,34",",67"
BJ.A2N7.11,Follicular,Normal,"14,81","15,78","-,24","10,20","-2,59","-,20","-1,24","-2,46",",14",",00","3,89",",18","1,68",",71"
EL.A3ZK.11,Classical,Normal,"14,96","15,99",",99","10,40","-1,62",",19","-,38","-1,31",",09","-,63","3,51",",13","2,75","1,93"
EL.A3T1.11,Classical,Normal,"13,73","15,34","1,15","6,76","-1,38",",69","-,42","-,55","-,17","-,35","3,37","1,09","2,00",",70"
ET.A2N5.11,Follicular,Normal,"15,11","16,04",",43","8,22","-4,28","-,01","-1,86","-2,03","-,14","-,40","4,59",",46","2,38","-,64"
EL.A3T2.11,Classical,Normal,"13,17","15,55","1,11","-,40","-3,12","-,50","-,56","-1,56",",21","-,14","3,49","1,47",",90","-2,16"
EL.A3N3.11,Classical,Normal,"14,21","15,65",",72","6,81","-2,78",",07","-1,09","-,32",",09","-,20","3,08","1,04","-,49","-,07"
EM.A1CW.11,Classical,Normal,"13,30","15,69","1,17","4,96","-3,55","-,52","-1,77","-2,02","-,58","-,11","5,29","-,06",",05",",46"
ET.A3DW.11,Follicular,Normal,"14,32","15,91",",67","10,19","-4,39",",00","-,87","-,60","-,67","-,18","2,83","-,15","3,36",",20"
ET.A2MX.11,Classical,Normal,"14,24","15,39",",43","6,64","-3,12","-,46","-1,82","-2,57","-,27","-,19","4,07","-1,19","2,09","2,00"
EL.A3H2.11,Classical,Normal,"14,94","15,79",",38","8,94","-2,82",",02","-1,46","-2,50","-,28","-,48","3,66",",23","2,52",",32"
EM.A1CT.11,Classical,Normal,"15,12","15,71",",80","8,12","-2,29","-,31","-1,46","-2,95","-,52","-,09","2,78","-,61","2,65",",56"
EL.A3N2.11,Classical,Normal,"13,97","16,58","1,44","3,21","-3,41","-1,09","-,09","-1,88","-,13","-,60","4,45","1,37",",89",",78"
EL.A3ZH.11,Classical,Normal,"15,30","15,83","2,10","7,43","-2,76","-,49","-2,10","-1,73",",18","-,39","3,76",",74","2,79","1,18"
GE.A2C6.11,Classical,Normal,"14,30","15,58","2,01","7,09","-,47","-,86","-,52","-,59",",19","-,53","2,45",",19","2,21","1,68"
DO.A1JZ.11,Classical,Normal,"14,73","16,89",",06","9,21","-2,77",",63","-1,35","-2,68","-,74","-,61","4,20","1,34","1,23","-,04"
H2.A2K9.11,Other,Normal,"14,80","16,14",",64","8,71","-1,30","-,05","-,78","-,85",",21","-,49","4,16",",53","2,25","1,74"
